Gene	ORF 	Plate	Row	Column
	YDL071C	2	14	8
INH1	YDL181W	2	14	9
BDF2	YDL070W	2	14	10
	YDL180W	2	14	11
IDP1	YDL066W	2	14	12
PCL9	YDL179W	2	14	13
PEX19	YDL065C	2	14	14
DLD2	YDL178W	2	14	15
	YDL062W	2	14	16
	YDL177C	2	14	17
RPS29B	YDL061C	2	14	18
	YDL176W	2	14	19
RAD59	YDL059C	2	14	20
AIR2	YDL175C	2	14	21
MBP1	YDL056W	2	14	22
DLD1	YDL174C	2	14	23
HIS3	YOR202W	2	14	24
HIS3	YOR202W	2	15	1
AGP1	YCL025C	2	15	2
	YCR061W	2	15	3
KCC4	YCL024W	2	15	4
TAH1	YCR060W	2	15	5
	YCL023C	2	15	6
YIH1	YCR059C	2	15	7
	YCL022C	2	15	8
THR4	YCR053W	2	15	9
DCC1	YCL016C	2	15	10
	YCR051W	2	15	11
BUD3	YCL014W	2	15	12
	YCR050C	2	15	13
	YCL013W	2	15	14
	YCR049C	2	15	15
	YCL012W	2	15	16
ARE1	YCR048W	2	15	17
GBP2	YCL011C	2	15	18
	YCR045C	2	15	19
SGF29	YCL010C	2	15	20
PER1	YCR044C	2	15	21
ILV6	YCL009C	2	15	22
	YCR043C	2	15	23
HIS3	YOR202W	2	15	24
HIS3	YOR202W	2	16	1
HIS3	YOR202W	2	16	2
HIS3	YOR202W	2	16	3
HIS3	YOR202W	2	16	4
HIS3	YOR202W	2	16	5
HIS3	YOR202W	2	16	6
HIS3	YOR202W	2	16	7
HIS3	YOR202W	2	16	8
HIS3	YOR202W	2	16	9
HIS3	YOR202W	2	16	10
HIS3	YOR202W	2	16	11
HIS3	YOR202W	2	16	12
HIS3	YOR202W	2	16	13
HIS3	YOR202W	2	16	14
HIS3	YOR202W	2	16	15
HIS3	YOR202W	2	16	16
HIS3	YOR202W	2	16	17
HIS3	YOR202W	2	16	18
HIS3	YOR202W	2	16	19
HIS3	YOR202W	2	16	20
HIS3	YOR202W	2	16	21
HIS3	YOR202W	2	16	22
HIS3	YOR202W	2	16	23
HIS3	YOR202W	2	16	24
HIS3	YOR202W	3	1	1
HIS3	YOR202W	3	1	2
HIS3	YOR202W	3	1	3
HIS3	YOR202W	3	1	4
HIS3	YOR202W	3	1	5
HIS3	YOR202W	3	1	6
HIS3	YOR202W	3	1	7
HIS3	YOR202W	3	1	8
HIS3	YOR202W	3	1	9
HIS3	YOR202W	3	1	10
HIS3	YOR202W	3	1	11
HIS3	YOR202W	3	1	12
HIS3	YOR202W	3	1	13
HIS3	YOR202W	3	1	14
HIS3	YOR202W	3	1	15
HIS3	YOR202W	3	1	16
HIS3	YOR202W	3	1	17
HIS3	YOR202W	3	1	18
HIS3	YOR202W	3	1	19
HIS3	YOR202W	3	1	20
HIS3	YOR202W	3	1	21
HIS3	YOR202W	3	1	22
HIS3	YOR202W	3	1	23
HIS3	YOR202W	3	1	24
HIS3	YOR202W	3	2	1
	YDR199W	3	2	2
OMS1	YDR316W	3	2	3
	YDR198C	3	2	4
IPK1	YDR315C	3	2	5
	YDR193W	3	2	6
	YDR314C	3	2	7
NUP42	YDR192C	3	2	8
PIB1	YDR313C	3	2	9
HST4	YDR191W	3	2	10
SSF2	YDR312W	3	2	11
	YDR186C	3	2	12
SUM1	YDR310C	3	2	13
	YDR185C	3	2	14
GIC2	YDR309C	3	2	15
ATC1	YDR184C	3	2	16
	YDR307W	3	2	17
PLP1	YDR183W	3	2	18
	YDR306C	3	2	19
SAS4	YDR181C	3	2	20
HNT2	YDR305C	3	2	21
	YDR179W-A	3	2	22
CPR5	YDR304C	3	2	23
HIS3	YOR202W	3	2	24
HIS3	YOR202W	3	3	1
	YDL199C	3	3	2
	YDR090C	3	3	3
ASF2	YDL197C	3	3	4
	YDR089W	3	3	5
SNF3	YDL194W	3	3	6
AFR1	YDR085C	3	3	7
ARF1	YDL192W	3	3	8
TVP23	YDR084C	3	3	9
RPL35A	YDL191W	3	3	10
RRP8	YDR083W	3	3	11
UFD2	YDL190C	3	3	12
VPS41	YDR080W	3	3	13
RBS1	YDL189W	3	3	14
SED1	YDR077W	3	3	15
PPH22	YDL188C	3	3	16
RAD55	YDR076W	3	3	17
	YDL187C	3	3	18
PPH3	YDR075W	3	3	19
	YDL186W	3	3	20
TPS2	YDR074W	3	3	21
TFP1	YDL185W	3	3	22
SNF11	YDR073W	3	3	23
HIS3	YOR202W	3	3	24
HIS3	YOR202W	3	4	1
ADR1	YDR216W	3	4	2
MSN5	YDR335W	3	4	3
	YDR215C	3	4	4
SWR1	YDR334W	3	4	5
AHA1	YDR214W	3	4	6
	YDR333C	3	4	7
UPC2	YDR213W	3	4	8
	YDR332W	3	4	9
	YDR210W	3	4	10
UBX5	YDR330W	3	4	11
	YDR209C	3	4	12
PEX3	YDR329C	3	4	13
UME6	YDR207C	3	4	14
ASP1	YDR321W	3	4	15
EBS1	YDR206W	3	4	16
SWA2	YDR320C	3	4	17
MSC2	YDR205W	3	4	18
	YDR319C	3	4	19
	YDR203W	3	4	20
MCM21	YDR318W	3	4	21
RAV2	YDR202C	3	4	22
	YDR317W	3	4	23
HIS3	YOR202W	3	4	24
HIS3	YOR202W	3	5	1
RRI1	YDL216C	3	5	2
	YDR102C	3	5	3
GDH2	YDL215C	3	5	4
ARX1	YDR101C	3	5	5
PRR2	YDL214C	3	5	6
